Ride ID,Date & Time,City,Vehicle Type,Driver ID,Customer ID,Distance (km),Duration (min),Fare (INR),Payment Method,Ride Status,Revenue (INR),Driver Education Qualification,Customer Rating,Fare per KM (auto QC)
RX000001,08-Sep-2021 16:38,Delhi,Bike,D0201,C01920,2.6,6,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX000002,08-Sep-2021 18:28,Hyderabad,Bike,D0156,C02294,3,7,53.93,Wallet,Completed,42.28,Graduate,4.5,17.98
RX000003,08-Sep-2021 19:24,Mumbai,Bike,D0002,C01049,6.7,13,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000004,08-Sep-2021 21:34,Bangalore,Auto,D0102,C00124,2.9,8,61.20,Cash,Completed,49.35,Graduate,4.5,21.10
RX000005,08-Sep-2021 23:10,Kolkata,Auto,D0316,C02342,8.3,28,124.40,Cash,Completed,99.43,Diploma,4.0,14.99
RX000006,09-Sep-2021 06:03,Delhi,Auto,D0108,C01528,4,12,74.00,UPI,Completed,59.00,High School,5.0,18.50
RX000007,09-Sep-2021 07:12,Bangalore,Sedan,D0395,C05406,2.4,6,105.60,UPI,Completed,86.40,High School,4.5,44.00
RX000008,09-Sep-2021 09:07,Delhi,Mini,D0087,C03660,8.7,21,257.78,UPI,Completed,202.24,Graduate,5.0,29.63
RX000009,09-Sep-2021 10:42,Chennai,Auto,D0323,C01606,9.9,24,133.20,UPI,Completed,107.12,Diploma,4.5,13.45
RX000010,09-Sep-2021 17:46,Bangalore,Bike,D0025,C02267,5,9,49.50,UPI,Completed,38.62,Graduate,5.0,9.90
RX000011,09-Sep-2021 17:49,Chennai,Sedan,D0051,C01164,5.5,13,163.00,UPI,Completed,130.99,High School,4.5,29.64
RX000012,09-Sep-2021 18:06,Delhi,Auto,D0044,C00218,7.7,20,163.41,UPI,Completed,133.42,Diploma,4.5,21.22
RX000013,09-Sep-2021 18:45,Ahmedabad,Auto,D0173,C02748,4,12,0.00,,Cancelled by Customer,0.00,High School,,0.00
RX000014,09-Sep-2021 20:52,Pune,Bike,D0308,C05810,3.8,7,64.02,UPI,Completed,50.69,Diploma,4.5,16.85
RX000015,09-Sep-2021 21:32,Hyderabad,Sedan,D0021,C01033,2.5,6,107.00,Cash,Completed,83.79,Graduate,4.0,42.80
RX000016,10-Sep-2021 00:50,Delhi,Mini,D0004,C01802,5.7,14,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX000017,10-Sep-2021 04:10,Ahmedabad,Bike,D0140,C01628,10,22,25.00,Wallet,No Show,25.00,High School,,2.50
RX000018,10-Sep-2021 10:18,Delhi,Mini,D0282,C02971,6.8,17,145.30,UPI,Completed,116.05,High School,4.0,21.37
RX000019,10-Sep-2021 18:06,Chennai,Mini,D0209,C03401,3.7,10,148.51,UPI,Completed,117.33,High School,4.5,40.14
RX000020,10-Sep-2021 18:39,Hyderabad,Auto,D0278,C04585,4.4,11,0.00,,Cancelled by Driver,0.00,Diploma,,0.00
RX000021,10-Sep-2021 19:12,Hyderabad,SUV Premier,D0121,C01846,10.6,25,449.86,UPI,Completed,366.82,Diploma,4.5,42.44
RX000022,11-Sep-2021 13:10,Bangalore,Mini,D0233,C01273,5,13,119.50,UPI,Completed,94.42,Post Graduate,4.0,23.90
RX000023,11-Sep-2021 16:26,Bangalore,Auto,D0055,C05244,6.8,21,105.40,Cash,Completed,84.96,Graduate,3.5,15.50
RX000024,11-Sep-2021 20:04,Ahmedabad,Mini,D0003,C01967,3.6,9,138.23,UPI,Completed,109.15,Graduate,5.0,38.40
RX000025,12-Sep-2021 04:41,Bangalore,SUV Premier,D0213,C03378,13.2,25,0.00,UPI,No Show,0.00,High School,,0.00
RX000026,12-Sep-2021 07:21,Hyderabad,Auto,D0297,C01269,2.7,7,58.60,UPI,Completed,45.79,Post Graduate,4.0,21.70
RX000027,12-Sep-2021 09:34,Hyderabad,Auto,D0336,C03340,10.9,24,186.54,UPI,Completed,145.96,Diploma,4.5,17.11
RX000028,12-Sep-2021 14:19,Pune,Sedan,D0181,C02884,9.2,21,0.00,,Cancelled by Driver,0.00,Graduate,,0.00
RX000029,12-Sep-2021 15:32,Delhi,Auto,D0110,C05966,6.2,19,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX000030,12-Sep-2021 17:54,Chennai,Bike,D0360,C02762,4.4,10,47.00,UPI,Completed,37.45,Diploma,3.5,10.68
